chromophore_smiles,solvent_original,canonical_chromophore_smiles,canonical_solvent_smiles,absorption_nm,emission_nm,lifetime_ns,quantum_yield,log_extinction,source_dataset
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,DMSO,COC(=O)c1ccn2cc(-c3ccc(OC)cc3)nc2c1,,355.0,427.0,,0.39,,chemfluor
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,DMSO,COC(=O)c1ccn2c(N)c(-c3ccc(OC)cc3)nc2c1,,426.0,520.0,,0.43,,chemfluor
O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,,387.0,528.0,,0.49,,chemfluor
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C(C(OC)=O)=CC=C4)C4=N2,DMSO,COC(=O)c1cccc2nc(-c3ccc(OC)cc3)c(NC3CCCCC3)n12,,355.0,627.0,,0.002,,chemfluor
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=N4)C4=N2,DMSO,COc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1,,365.0,560.0,,0.009,,chemfluor
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1,,355.0,491.0,,0.46,,chemfluor
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,DMSO,COc1ccc(-c2nc3ccccn3c2NC2CCCCC2)cc1,,350.0,490.0,,0.25,,chemfluor
OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(CO)ccn3c2NC2CCCCC2)cc1,,341.0,495.0,,0.29,,chemfluor
ClC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(Cl)ccn3c2NC2CCCCC2)cc1,,357.0,518.0,,0.08,,chemfluor
N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(C#N)ccn3c2NC2CCCCC2)cc1,,389.0,525.0,,0.42,,chemfluor
