chromophore_smiles,solvent_original,canonical_chromophore_smiles,canonical_solvent_smiles,absorption_nm,emission_nm,lifetime_ns,quantum_yield,log_extinction,source_dataset,fluodb_source,fluodb_tag,fluodb_tag_name,fluodb_solvent_num,fluodb_split,reference_doi,stokes_shift_nm
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,DMSO,COC(=O)c1ccn2cc(-c3ccc(OC)cc3)nc2c1,,355.0,427.0,,0.39,,chemfluor,,,,,,,72.0
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,DMSO,COC(=O)c1ccn2c(N)c(-c3ccc(OC)cc3)nc2c1,,426.0,520.0,,0.43,,chemfluor,,,,,,,94.0
O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,,387.0,528.0,,0.49,,chemfluor,,,,,,,141.0
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C(C(OC)=O)=CC=C4)C4=N2,DMSO,COC(=O)c1cccc2nc(-c3ccc(OC)cc3)c(NC3CCCCC3)n12,,355.0,627.0,,0.002,,chemfluor,,,,,,,272.0
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=N4)C4=N2,DMSO,COc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1,,365.0,560.0,,0.009,,chemfluor,,,,,,,195.0
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1,,355.0,491.0,,0.46,,chemfluor,,,,,,,136.0
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,DMSO,COc1ccc(-c2nc3ccccn3c2NC2CCCCC2)cc1,,350.0,490.0,,0.25,,chemfluor,,,,,,,140.0
OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(CO)ccn3c2NC2CCCCC2)cc1,,341.0,495.0,,0.29,,chemfluor,,,,,,,154.0
ClC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(Cl)ccn3c2NC2CCCCC2)cc1,,357.0,518.0,,0.08,,chemfluor,,,,,,,161.0
N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,COc1ccc(-c2nc3cc(C#N)ccn3c2NC2CCCCC2)cc1,,389.0,525.0,,0.42,,chemfluor,,,,,,,136.0
CCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,DMSO,CCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,,368.0,516.0,,0.24,,chemfluor,,,,,,,148.0
CCCCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,DMSO,CCCCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,,368.0,516.0,,0.24,,chemfluor,,,,,,,148.0
CCCCCCCCC1=C(NC2CCCCC2)N(C=CN=C3)C3=N1,DMSO,CCCCCCCCc1nc2cnccn2c1NC1CCCCC1,,329.0,485.0,,0.21,,chemfluor,,,,,,,156.0
BrC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Br)cc3)nc2c1,,388.0,524.0,,0.42,,chemfluor,,,,,,,136.0
COC1=CC=CC(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=C1,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccc(OC)c3)nc2c1,,384.0,526.0,,0.51,,chemfluor,,,,,,,142.0
