chromophore_smiles,solvent_original,canonical_chromophore_smiles,canonical_solvent_smiles,absorption_nm,emission_nm,lifetime_ns,quantum_yield,log_extinction,source_dataset
N#Cc1cc2ccc(O)cc2oc1=O,O,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262,,,deep4chem
N#Cc1cc2ccc([O-])cc2oc1=O,O,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965,,,deep4chem
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954,,,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.7,3.81,,,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,4.7,,,deep4chem
Oc1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,Oc1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,,451.0,,,,deep4chem
[O-]c1c(-c2[nH+]c3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,[O-]c1c(-c2[nH+]c3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,,639.0,0.49,,,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,2.8,,,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,3.1,,,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,3.4,,,deep4chem
