canonical_chromophore_smiles,canonical_solvent_smiles,row_count,unique_measurements,source_combination,min_emission_nm,max_emission_nm
B1C=Cc2ccc3ccccc3c2N1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",371.0,371.0
BrC1=CC=CN2B1C=Cc1ccccc12,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",371.0,371.0
Brc1c(Br)c2ccc3c(Br)c(Br)c4ccc5ccc1c1c5c4c3c21,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",439.0,439.0
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,2,2,"FluoDB-Lite,deep4chem",444.0,444.1
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,2,2,"FluoDB-Lite,deep4chem",409.0,409.4
Brc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,2,2,"FluoDB-Lite,deep4chem",398.9,399.0
Brc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(Br)ccc7[nH]6)cc5)cc4)cc3)nc2c1,CN(C)C=O,2,2,"FluoDB-Lite,deep4chem",410.0,410.0
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,,7,7,chemfluor,490.0,628.0
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,,10,10,chemfluor,421.0,544.0
C#CCN1CCN(c2c(F)cc3c(c2F)OC2=C(/C=C/C4=[N+](C)c5ccccc5C4(C)C)CCCC2=C3)CC1,,2,2,chemfluor,723.0,731.0
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",501.5,501.8
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,2,2,"FluoDB-Lite,deep4chem",496.0,496.0
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,2,2,"FluoDB-Lite,deep4chem",496.0,496.0
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,OCC(F)(F)F,2,2,"FluoDB-Lite,deep4chem",494.5,495.0
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,C1CCCCC1,3,3,"FluoDB-Lite,deep4chem",482.0,486.0
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CC(C)=O,2,2,"FluoDB-Lite,deep4chem",466.5,466.8
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCO,3,3,"FluoDB-Lite,deep4chem",463.0,468.0
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCOC(C)=O,2,2,"FluoDB-Lite,deep4chem",469.5,469.8
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CO,2,2,"FluoDB-Lite,deep4chem",464.5,464.5
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,OCC(F)(F)F,2,2,"FluoDB-Lite,deep4chem",480.5,481.0
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,,2,2,chemfluor,453.0,469.5
